ahdc.superlayer1.layer1.ncomponents | 47| na | number of counters in panel | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 05 June 2020 
atof.sector1.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer0.layer0.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer0.layer1.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer0.layer2.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer0.layer3.ncomponents | 1| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer0.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer1.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer2.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer3.ncomponents | 10| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
